集計年,都道府県コード,都道府県名,総人口（人）,年少人口（人）,生産年齢人口（人）,老年人口（人）,年少人口割合,生産年齢人口割合,老年人口割合
2015,08,茨城県,2916976,364351,1747312,771678,0.12,0.6,0.26
2015,09,栃木県,1974255,252836,1203616,508392,0.13,0.61,0.26
2015,10,群馬県,1973115,250884,1165780,540026,0.13,0.59,0.27
2015,11,埼玉県,7266534,910805,4507174,1788735,0.13,0.62,0.25
2015,12,千葉県,6222666,762112,3779812,1584419,0.12,0.61,0.25
2015,13,東京都,13515271,1518130,8734155,3005516,0.11,0.65,0.22
2015,14,神奈川県,9126214,1140748,5744383,2158157,0.12,0.63,0.24
2015,15,新潟県,2304264,275945,1333453,685085,0.12,0.58,0.3
2015,16,富山県,1066328,128848,605545,322899,0.12,0.57,0.3
2015,17,石川県,1154008,148372,672515,317151,0.13,0.58,0.27
2015,18,福井県,786740,102986,451409,222408,0.13,0.57,0.28
2015,19,山梨県,834930,102270,488845,234544,0.12,0.59,0.28
2015,20,長野県,2098804,269752,1186865,626085,0.13,0.57,0.3
2015,21,岐阜県,2031903,266998,1185431,567571,0.13,0.58,0.28
2015,22,静岡県,3700305,478084,2175004,1021283,0.13,0.59,0.28
2015,23,愛知県,7483128,1022532,4618657,1760763,0.14,0.62,0.24
2015,24,三重県,1815865,233525,1061577,501046,0.13,0.58,0.28
2015,25,滋賀県,1412916,203450,857720,337877,0.14,0.61,0.24
2015,26,京都府,2610353,313866,1539540,703419,0.12,0.59,0.27
2015,27,大阪府,8839469,1093111,5341654,2278324,0.12,0.6,0.26
2015,28,兵庫県,5534800,706871,3280212,1481646,0.13,0.59,0.27
2015,29,奈良県,1364316,168970,796552,388614,0.12,0.58,0.28
2015,30,和歌山県,963579,116412,546279,296239,0.12,0.57,0.31
2015,31,鳥取県,573441,73685,326301,169092,0.13,0.57,0.29
2015,32,島根県,694352,86056,376877,222648,0.12,0.54,0.32
2015,33,岡山県,1921525,247890,1098140,540876,0.13,0.57,0.28
2015,34,広島県,2843990,375890,1662522,774440,0.13,0.58,0.27
2015,35,山口県,1404729,170022,778430,447862,0.12,0.55,0.32
2015,36,徳島県,755733,87030,428059,230914,0.12,0.57,0.31
2015,37,香川県,976263,122324,547844,286296,0.13,0.56,0.29
2015,38,愛媛県,1385262,169110,776111,417186,0.12,0.56,0.3
2015,39,高知県,728276,83884,400605,237012,0.12,0.55,0.33
2015,40,福岡県,5101556,676045,3057855,1304764,0.13,0.6,0.26
2015,41,佐賀県,832832,116122,483019,229335,0.14,0.58,0.28
2015,42,長崎県,1377187,177562,784862,404686,0.13,0.57,0.29
2015,43,熊本県,1786170,241167,1024400,511484,0.14,0.57,0.29
2015,44,大分県,1166338,146413,657169,351745,0.13,0.56,0.3
2015,45,宮崎県,1104069,149608,622544,322975,0.14,0.56,0.29
2015,46,鹿児島県,1648177,220751,929758,479734,0.13,0.56,0.29
2015,47,沖縄県,1433566,247206,892109,278337,0.17,0.62,0.19
2020,01,北海道,5178053,531024,2950493,1696536,0.1,0.57,0.33
2020,02,青森県,1236178,126252,695984,413942,0.1,0.56,0.33
2020,03,岩手県,1206441,131438,669275,405728,0.11,0.55,0.34
2020,04,宮城県,2269042,264675,1350814,653553,0.12,0.6,0.29
2020,05,秋田県,959272,92713,509890,356669,0.1,0.53,0.37
2020,06,山形県,1062188,118553,584884,358751,0.11,0.55,0.34
2020,07,福島県,1873538,216839,1050951,605748,0.12,0.56,0.32
2020,08,茨城県,2852547,335432,1673112,844003,0.12,0.59,0.3
2020,09,栃木県,1926237,231478,1134958,559801,0.12,0.59,0.29
2020,10,群馬県,1920494,229720,1112823,577951,0.12,0.58,0.3
2020,11,埼玉県,7132876,837241,4353102,1942533,0.12,0.61,0.27
2020,12,千葉県,6122485,712152,3646354,1763979,0.12,0.6,0.29
2020,13,東京都,13315321,1421405,8652917,3240999,0.11,0.65,0.24
2020,14,神奈川県,9122193,1073412,5670635,2378146,0.12,0.62,0.26
2020,15,新潟県,2209986,246079,1239376,724531,0.11,0.56,0.33
2020,16,富山県,1028160,116709,574820,336631,0.11,0.56,0.33
2020,17,石川県,1128068,136968,651901,339199,0.12,0.58,0.3
2020,18,福井県,759770,93636,428076,238058,0.12,0.56,0.31
2020,19,山梨県,808604,91517,467914,249173,0.11,0.58,0.31
2020,20,長野県,2018822,242286,1131042,645494,0.12,0.56,0.32
2020,21,岐阜県,1978053,240414,1139480,598159,0.12,0.58,0.3
2020,22,静岡県,3601121,436943,2074383,1089795,0.12,0.58,0.3
2020,23,愛知県,7440404,971450,4561255,1907699,0.13,0.61,0.26
2020,24,三重県,1773233,213953,1031664,527616,0.12,0.58,0.3
2020,25,滋賀県,1414000,191203,850376,372421,0.14,0.6,0.26
2020,26,京都府,2566846,293222,1504939,768685,0.11,0.59,0.3
2020,27,大阪府,8648899,999296,5182701,2466902,0.12,0.6,0.29
2020,28,兵庫県,5421943,647891,3186353,1587699,0.12,0.59,0.29
2020,29,奈良県,1330085,150594,763551,415940,0.11,0.57,0.31
2020,30,和歌山県,917238,99751,510003,307484,0.11,0.56,0.34
2020,31,鳥取県,544484,65190,301080,178214,0.12,0.55,0.33
2020,32,島根県,655482,76516,348927,230039,0.12,0.53,0.35
2020,33,岡山県,1867744,230199,1068402,569143,0.12,0.57,0.3
2020,34,広島県,2766671,341213,1586941,838517,0.12,0.57,0.3
2020,35,山口県,1340163,152978,724921,462264,0.11,0.54,0.34
2020,36,徳島県,722519,77830,397584,247105,0.11,0.55,0.34
2020,37,香川県,937157,111291,521158,304708,0.12,0.56,0.33
2020,38,愛媛県,1329499,152858,734818,441823,0.11,0.55,0.33
2020,39,高知県,693347,74143,372837,246367,0.11,0.54,0.36
2020,40,福岡県,4968057,617433,2905077,1445547,0.12,0.58,0.29
2020,41,佐賀県,802816,103939,452194,246683,0.13,0.56,0.31
2020,42,長崎県,1312976,155967,722294,434715,0.12,0.55,0.33
2020,43,熊本県,1724546,217170,961947,545429,0.13,0.56,0.32
2020,44,大分県,1134264,135005,627181,372078,0.12,0.55,0.33
2020,45,宮崎県,1073112,136317,587968,348827,0.13,0.55,0.33
2020,46,鹿児島県,1588116,199236,874386,514494,0.13,0.55,0.32
2020,47,沖縄県,1416876,226435,866415,324026,0.16,0.61,0.23
2025,01,北海道,4959984,469343,2774446,1716195,0.09,0.56,0.35
2025,02,青森県,1161431,110205,635865,415361,0.09,0.55,0.36
2025,03,岩手県,1139825,116658,619086,404081,0.1,0.54,0.35
2025,04,宮城県,2210121,241213,1290753,678155,0.11,0.58,0.31
2025,05,秋田県,893224,80629,460018,352577,0.09,0.52,0.39
2025,06,山形県,1005850,106024,541018,358808,0.11,0.54,0.36
2025,07,福島県,1780166,191605,973702,614859,0.11,0.55,0.35
2025,08,茨城県,2764115,303336,1598731,862048,0.11,0.58,0.31
2025,09,栃木県,1867192,210238,1081477,575477,0.11,0.58,0.31
2025,10,群馬県,1857908,208240,1067982,581686,0.11,0.57,0.31
2025,11,埼玉県,6991046,764206,4244344,1982496,0.11,0.61,0.28
2025,12,千葉県,5987027,648271,3540991,1797765,0.11,0.59,0.3
2025,13,東京都,13178672,1311870,8544323,3322479,0.1,0.65,0.25
2025,14,神奈川県,9009667,984123,5577640,2447904,0.11,0.62,0.27
2025,15,新潟県,2112473,221170,1166702,724601,0.1,0.55,0.34
2025,16,富山県,985889,104822,549336,331731,0.11,0.56,0.34
2025,17,石川県,1096170,124705,629668,341797,0.11,0.57,0.31
2025,18,福井県,731030,84503,406560,239967,0.12,0.56,0.33
2025,19,山梨県,775908,81869,441582,252457,0.11,0.57,0.33
2025,20,長野県,1937623,217705,1076998,642920,0.11,0.56,0.33
2025,21,岐阜県,1907818,217076,1092908,597834,0.11,0.57,0.31
2025,22,静岡県,3480333,394263,1984786,1101284,0.11,0.57,0.32
2025,23,愛知県,7348135,901046,4503760,1943329,0.12,0.61,0.26
2025,24,三重県,1714523,193295,993239,527989,0.11,0.58,0.31
2025,25,滋賀県,1398322,177272,836354,384696,0.13,0.6,0.28
2025,26,京都府,2499460,266664,1463071,769725,0.11,0.59,0.31
2025,27,大阪府,8410039,904530,5048274,2457235,0.11,0.6,0.29
2025,28,兵庫県,5268695,585866,3083166,1599663,0.11,0.59,0.3
2025,29,奈良県,1279718,134873,727779,417066,0.11,0.57,0.33
2025,30,和歌山県,869182,87991,478285,302906,0.1,0.55,0.35
2025,31,鳥取県,519861,58715,282291,178855,0.11,0.54,0.34
2025,32,島根県,621882,68775,326963,226144,0.11,0.53,0.36
2025,33,岡山県,1811274,211454,1032881,566939,0.12,0.57,0.31
2025,34,広島県,2688800,311090,1533427,844283,0.12,0.57,0.31
2025,35,山口県,1275187,137331,686386,451470,0.11,0.54,0.35
2025,36,徳島県,686332,69238,371144,245950,0.1,0.54,0.36
2025,37,香川県,899859,100422,495657,303780,0.11,0.55,0.34
2025,38,愛媛県,1269451,136834,693035,439582,0.11,0.55,0.35
2025,39,高知県,654741,65616,347553,241572,0.1,0.53,0.37
2025,40,福岡県,4855724,565240,2809069,1481415,0.12,0.58,0.31
2025,41,佐賀県,774676,94963,428978,250735,0.12,0.55,0.32
2025,42,長崎県,1250016,139040,671412,439564,0.11,0.54,0.35
2025,43,熊本県,1666017,198221,913392,554404,0.12,0.55,0.33
2025,44,大分県,1093634,122943,598228,372463,0.11,0.55,0.34
2025,45,宮崎県,1033671,123987,555184,354500,0.12,0.54,0.34
2025,46,鹿児島県,1521991,180435,818195,523361,0.12,0.54,0.34
2025,47,沖縄県,1414154,212502,848273,353379,0.15,0.6,0.25
2030,01,北海道,4719100,416799,2588899,1713402,0.09,0.55,0.36
2030,02,青森県,1085119,96711,580265,408143,0.09,0.53,0.38
2030,03,岩手県,1072339,104454,573146,394739,0.1,0.53,0.37
2030,04,宮城県,2140710,219726,1232368,688616,0.1,0.58,0.32
2030,05,秋田県,827462,70736,417515,339211,0.09,0.5,0.41
2030,06,山形県,949292,95656,503167,350469,0.1,0.53,0.37
2030,07,福島県,1684358,171207,904821,608330,0.1,0.54,0.36
2030,08,茨城県,2661094,275271,1524146,861677,0.1,0.57,0.32
2030,09,栃木県,1799782,191015,1030632,578135,0.11,0.57,0.32
2030,10,群馬県,1787483,189014,1018618,579851,0.11,0.57,0.32
2030,11,埼玉県,6795904,696234,4083614,2016056,0.1,0.6,0.3
2030,12,千葉県,5806411,587403,3397493,1821515,0.1,0.59,0.31
2030,13,東京都,12956522,1197557,8261191,3497774,0.09,0.64,0.27
2030,14,神奈川県,8833192,899333,5375996,2557863,0.1,0.61,0.29
2030,15,新潟県,2009105,199094,1098614,711397,0.1,0.55,0.35
2030,16,富山県,940070,94272,521830,323968,0.1,0.56,0.34
2030,17,石川県,1059630,113768,605023,340839,0.11,0.57,0.32
2030,18,福井県,700185,76705,384164,239316,0.11,0.55,0.34
2030,19,山梨県,741077,73665,412784,254628,0.1,0.56,0.34
2030,20,長野県,1851124,196359,1017763,637002,0.11,0.55,0.34
2030,21,岐阜県,1829589,197249,1038568,593772,0.11,0.57,0.32
2030,22,静岡県,3342558,357195,1885103,1100260,0.11,0.56,0.33
2030,23,愛知県,7213147,834881,4383472,1994794,0.12,0.61,0.28
2030,24,三重県,1649474,176024,944910,528540,0.11,0.57,0.32
2030,25,滋賀県,1375179,164608,815769,394802,0.12,0.59,0.29
2030,26,京都府,2418108,241986,1404457,771665,0.1,0.58,0.32
2030,27,大阪府,8118391,814877,4827423,2476091,0.1,0.59,0.3
2030,28,兵庫県,5088284,530249,2946083,1611952,0.1,0.58,0.32
2030,29,奈良県,1222563,121401,686348,414814,0.1,0.56,0.34
2030,30,和歌山県,819680,78278,444918,296484,0.1,0.54,0.36
2030,31,鳥取県,494364,53130,265874,175360,0.11,0.54,0.35
2030,32,島根県,588227,62352,308169,217706,0.11,0.52,0.37
2030,33,岡山県,1749284,194587,998536,556161,0.11,0.57,0.32
2030,34,広島県,2598805,283688,1475690,839427,0.11,0.57,0.32
2030,35,山口県,1207526,123884,651979,431663,0.1,0.54,0.36
2030,36,徳島県,648962,61763,347537,239662,0.1,0.54,0.37
2030,37,香川県,859827,90528,472435,296864,0.11,0.55,0.35
2030,38,愛媛県,1206403,123086,653349,429968,0.1,0.54,0.36
2030,39,高知県,615642,58248,324062,233332,0.09,0.53,0.38
2030,40,福岡県,4718154,517879,2710881,1489394,0.11,0.57,0.32
2030,41,佐賀県,744863,87498,408882,248483,0.12,0.55,0.33
2030,42,長崎県,1184609,125152,626782,432675,0.11,0.53,0.37
2030,43,熊本県,1603413,182672,870514,550227,0.11,0.54,0.34
2030,44,大分県,1049965,112626,573830,363509,0.11,0.55,0.35
2030,45,宮崎県,991365,113896,528277,349192,0.11,0.53,0.35
2030,46,鹿児島県,1454431,165222,772636,516573,0.11,0.53,0.36
2030,47,沖縄県,1404887,200718,831211,372958,0.14,0.59,0.27
2035,01,北海道,4462042,381148,2381512,1699382,0.09,0.53,0.38
2035,02,青森県,1008724,87373,524542,396809,0.09,0.52,0.39
2035,03,岩手県,1005329,96142,527635,381552,0.1,0.52,0.38
2035,04,宮城県,2061971,205060,1161089,695822,0.1,0.56,0.34
2035,05,秋田県,763356,63762,378501,321093,0.08,0.5,0.42
2035,06,山形県,892934,88554,466602,337778,0.1,0.52,0.38
2035,07,福島県,1586584,157442,836386,592756,0.1,0.53,0.37
2035,08,茨城県,2546159,257036,1426076,863047,0.1,0.56,0.34
2035,09,栃木県,1724935,178439,965360,581136,0.1,0.56,0.34
2035,10,群馬県,1710958,177245,951102,582611,0.1,0.56,0.34
2035,11,埼玉県,6562019,655744,3819863,2086412,0.1,0.58,0.32
2035,12,千葉県,5592087,549873,3171262,1870952,0.1,0.57,0.33
2035,13,東京都,12662691,1122106,7770316,3770269,0.09,0.61,0.3
2035,14,神奈川県,8606856,850441,5030677,2725738,0.1,0.58,0.32
2035,15,新潟県,1902238,184369,1020022,697847,0.1,0.54,0.37
2035,16,富山県,891552,87496,485687,318369,0.1,0.54,0.36
2035,17,石川県,1018824,107136,570714,340974,0.11,0.56,0.33
2035,18,福井県,667529,71832,359566,236131,0.11,0.54,0.35
2035,19,山梨県,704421,68728,379014,256679,0.1,0.54,0.36
2035,20,長野県,1760905,183320,943775,633810,0.1,0.54,0.36
2035,21,岐阜県,1746339,184890,971062,590387,0.11,0.56,0.34
2035,22,静岡県,3192733,334227,1755854,1102652,0.1,0.55,0.35
2035,23,愛知県,7046425,799049,4167735,2079641,0.11,0.59,0.3
2035,24,三重県,1580118,165604,885295,529219,0.1,0.56,0.33
2035,25,滋賀県,1345284,157426,781804,406054,0.12,0.58,0.3
2035,26,京都府,2325138,226608,1317495,781035,0.1,0.57,0.34
2035,27,大阪府,7793928,759517,4482540,2551871,0.1,0.58,0.33
2035,28,兵庫県,4887804,496129,2752879,1638796,0.1,0.56,0.34
2035,29,奈良県,1160609,113085,634548,412976,0.1,0.55,0.36
2035,30,和歌山県,769428,72035,408514,288879,0.09,0.53,0.38
2035,31,鳥取県,468146,49209,248997,169940,0.11,0.53,0.36
2035,32,島根県,554624,58050,288435,208139,0.1,0.52,0.38
2035,33,岡山県,1682159,184166,949509,548484,0.11,0.56,0.33
2035,34,広島県,2498685,267255,1391427,840003,0.11,0.56,0.34
2035,35,山口県,1138693,115222,609068,414403,0.1,0.53,0.36
2035,36,徳島県,610592,56556,321645,232391,0.09,0.53,0.38
2035,37,香川県,817527,84032,442791,290704,0.1,0.54,0.36
2035,38,愛媛県,1141463,114094,609410,417959,0.1,0.53,0.37
2035,39,高知県,576136,53164,299866,223106,0.09,0.52,0.39
2035,40,福岡県,4558867,487718,2568972,1502177,0.11,0.56,0.33
2035,41,佐賀県,713583,82729,387221,243633,0.12,0.54,0.34
2035,42,長崎県,1117752,116172,580673,420907,0.1,0.52,0.38
2035,43,熊本県,1537678,173058,825353,539267,0.11,0.54,0.35
2035,44,大分県,1003911,106130,544860,352921,0.11,0.54,0.35
2035,45,宮崎県,947279,107420,501307,338552,0.11,0.53,0.36
2035,46,鹿児島県,1385760,155188,727773,502799,0.11,0.53,0.36
2035,47,沖縄県,1390796,194790,804888,391118,0.14,0.58,0.28
2040,01,北海道,4190073,353413,2129332,1707328,0.08,0.51,0.41
2040,02,青森県,932028,80073,464790,387165,0.09,0.5,0.42
2040,03,岩手県,938104,89457,475975,372672,0.1,0.51,0.4
2040,04,宮城県,1972577,192475,1065159,714943,0.1,0.54,0.36
2040,05,秋田県,699814,58303,335078,306433,0.08,0.48,0.44
2040,06,山形県,835554,82745,424264,328545,0.1,0.51,0.39
2040,07,福島県,1485158,146006,755200,583952,0.1,0.51,0.39
2040,08,茨城県,2422744,243602,1297420,881722,0.1,0.54,0.36
2040,09,栃木県,1643368,169097,877798,596473,0.1,0.53,0.36
2040,10,群馬県,1629974,169341,864193,596440,0.1,0.53,0.37
2040,11,埼玉県,6304607,627249,3475717,2201641,0.1,0.55,0.35
2040,12,千葉県,5358191,523847,2877866,1956478,0.1,0.54,0.37
2040,13,東京都,12307641,1061064,7129014,4117563,0.09,0.58,0.33
2040,14,神奈川県,8343495,817455,4607133,2918907,0.1,0.55,0.35
2040,15,新潟県,1790918,172845,924569,693504,0.1,0.52,0.39
2040,16,富山県,841431,83120,435133,323178,0.1,0.52,0.38
2040,17,石川県,974370,102656,520608,351106,0.11,0.53,0.36
2040,18,福井県,633236,68253,327460,237523,0.11,0.52,0.38
2040,19,山梨県,666155,65041,342503,258611,0.1,0.51,0.39
2040,20,長野県,1668415,174499,852964,640952,0.1,0.51,0.38
2040,21,岐阜県,1659525,175931,883365,600229,0.11,0.53,0.36
2040,22,静岡県,3035359,317828,1594367,1123164,0.1,0.53,0.37
2040,23,愛知県,6855632,775871,3860538,2219223,0.11,0.56,0.32
2040,24,三重県,1507656,158128,807115,542413,0.1,0.54,0.36
2040,25,滋賀県,1309300,152555,727804,428941,0.12,0.56,0.33
2040,26,京都府,2223586,215212,1199230,809144,0.1,0.54,0.36
2040,27,大阪府,7453526,720524,4048265,2684737,0.1,0.54,0.36
2040,28,兵庫県,4673709,471971,2501465,1700273,0.1,0.54,0.36
2040,29,奈良県,1096162,106841,572214,417107,0.1,0.52,0.38
2040,30,和歌山県,719427,67399,365160,286868,0.09,0.51,0.4
2040,31,鳥取県,441038,46180,226391,168467,0.1,0.51,0.38
2040,32,島根県,520658,54813,262238,203607,0.11,0.5,0.39
2040,33,岡山県,1610985,176418,874141,560426,0.11,0.54,0.35
2040,34,広島県,2391476,256021,1271089,864366,0.11,0.53,0.36
2040,35,山口県,1069779,108916,551296,409567,0.1,0.52,0.38
2040,36,徳島県,571016,52605,288591,229820,0.09,0.51,0.4
2040,37,香川県,773076,79552,400220,293304,0.1,0.52,0.38
2040,38,愛媛県,1074618,107394,551382,415842,0.1,0.51,0.39
2040,39,高知県,536514,49534,267405,219575,0.09,0.5,0.41
2040,40,福岡県,4379486,464163,2369418,1545905,0.11,0.54,0.35
2040,41,佐賀県,680203,78774,359881,241548,0.12,0.53,0.36
2040,42,長崎県,1048728,109090,527728,411910,0.1,0.5,0.39
2040,43,熊本県,1467142,165046,768413,533683,0.11,0.52,0.36
2040,44,大分県,955424,101076,503753,350595,0.11,0.53,0.37
2040,45,宮崎県,900508,102241,464674,333593,0.11,0.52,0.37
2040,46,鹿児島県,1314057,146633,674212,493212,0.11,0.51,0.38
2040,47,沖縄県,1369408,190563,763398,415447,0.14,0.56,0.3
